MERRA: MODERN ERA RETROSPECTIVE-ANALYSIS FOR RESEARCH AND APPLICATIONS
These data originates from the Global Modeling and Assimilation Office of NASA / Goddard Space Flight Center.
The MERRA analysis are being conducted with the GEOS-5 Asmospheric Data Assimilation System
(ADAS). The model grid is 0.5 degree latitude and 2/3 degree longitude.
The raw data may be obtained from this URL: http://gmao.gsfc.nasa.gov/research/merra/
Acknowledgement: The Global Modeling and Assimilation Office (GMAO) for the MERRA-analysis and the GES DISC for the dissemination of MERRA
This sub-dataset is provided and processedby EMD International A/S, web:
http://www.emd.dk or http://www.WindPRO.com

Year: 1990
IdxLatitude: 166
IdxLongitude: 218
Latitude: -7
Longitude: -34.6655578613281

time	pressure	temperature	wDir	wSpeed	dispHeight
1990-01-01 00:00	1014.1	26.64	101.4	7.07	0.100
1990-01-01 01:00	1013.5	26.56	101.2	6.82	0.100
1990-01-01 02:00	1012.6	26.44	100.9	6.49	0.100
1990-01-01 03:00	1011.7	26.35	101.0	6.28	0.100
1990-01-01 04:00	1011.1	26.23	101.3	6.17	0.100
1990-01-01 05:00	1010.9	26.19	102.4	6.04	0.100
1990-01-01 06:00	1011.0	26.17	104.1	5.86	0.100
1990-01-01 07:00	1011.5	26.19	106.3	5.66	0.100
1990-01-01 08:00	1012.2	26.22	108.8	5.55	0.100
1990-01-01 09:00	1013.0	26.51	109.7	5.50	0.100
1990-01-01 10:00	1013.4	27.19	109.2	5.57	0.100
1990-01-01 11:00	1013.7	27.91	107.8	5.78	0.100
1990-01-01 12:00	1013.7	28.55	105.9	6.08	0.100
1990-01-01 13:00	1013.3	29.01	104.1	6.39	0.100
1990-01-01 14:00	1012.7	29.17	103.1	6.65	0.100
1990-01-01 15:00	1012.1	29.00	102.7	6.77	0.100
1990-01-01 16:00	1011.5	28.57	103.4	6.86	0.100
1990-01-01 17:00	1011.1	27.85	105.6	6.86	0.100
1990-01-01 18:00	1011.2	27.27	108.1	6.82	0.100
1990-01-01 19:00	1011.6	26.76	110.0	6.84	0.100
1990-01-01 20:00	1012.0	26.51	111.6	7.04	0.100
1990-01-01 21:00	1012.5	26.47	111.2	7.40	0.100
1990-01-01 22:00	1013.1	26.44	109.0	7.83	0.100
1990-01-01 23:00	1013.4	26.44	105.8	8.24	0.100
1990-01-02 00:00	1013.3	26.39	103.1	8.58	0.100
1990-01-02 01:00	1013.0	26.35	101.5	8.83	0.100
1990-01-02 02:00	1012.4	26.29	100.5	8.99	0.100
1990-01-02 03:00	1011.7	26.18	100.6	8.92	0.100
1990-01-02 04:00	1011.3	26.09	101.8	8.72	0.100
1990-01-02 05:00	1011.2	26.05	104.3	8.59	0.100
1990-01-02 06:00	1011.4	25.99	106.3	8.55	0.100
1990-01-02 07:00	1011.8	25.96	107.2	8.55	0.100
1990-01-02 08:00	1012.4	26.01	107.0	8.52	0.100
1990-01-02 09:00	1013.1	26.28	106.8	8.49	0.100
1990-01-02 10:00	1013.6	26.82	106.8	8.52	0.100
1990-01-02 11:00	1013.9	27.55	106.4	8.62	0.100
1990-01-02 12:00	1013.7	28.34	106.2	8.75	0.100
1990-01-02 13:00	1013.3	28.83	106.5	8.83	0.100
1990-01-02 14:00	1012.6	29.03	107.1	8.95	0.100
1990-01-02 15:00	1011.8	28.93	107.5	9.06	0.100
1990-01-02 16:00	1011.0	28.60	108.2	9.06	0.100
1990-01-02 17:00	1010.8	28.17	109.6	8.89	0.100
1990-01-02 18:00	1011.0	27.50	111.4	8.49	0.100
1990-01-02 19:00	1011.5	26.89	113.0	8.08	0.100
1990-01-02 20:00	1012.1	26.49	114.0	7.70	0.100
1990-01-02 21:00	1012.7	26.38	113.9	7.40	0.100
1990-01-02 22:00	1013.2	26.33	113.1	7.09	0.100
1990-01-02 23:00	1013.5	26.29	112.6	6.80	0.100
1990-01-03 00:00	1013.3	26.24	112.5	6.58	0.100
1990-01-03 01:00	1012.9	26.18	113.0	6.48	0.100
1990-01-03 02:00	1012.3	26.10	113.6	6.38	0.100
1990-01-03 03:00	1011.9	26.06	115.0	6.27	0.100
1990-01-03 04:00	1011.6	25.97	116.2	6.23	0.100
1990-01-03 05:00	1011.6	25.94	116.3	6.27	0.101
1990-01-03 06:00	1011.9	26.02	115.5	6.32	0.101
1990-01-03 07:00	1012.4	26.09	114.4	6.33	0.101
1990-01-03 08:00	1013.1	26.18	113.9	6.34	0.101
1990-01-03 09:00	1013.7	26.34	113.6	6.31	0.101
1990-01-03 10:00	1014.0	26.64	114.0	6.23	0.101
1990-01-03 11:00	1014.2	27.53	114.4	6.17	0.101
1990-01-03 12:00	1013.9	28.40	114.2	6.24	0.101
1990-01-03 13:00	1013.3	29.00	113.1	6.45	0.101
1990-01-03 14:00	1012.5	29.16	112.0	6.80	0.101
1990-01-03 15:00	1011.7	29.18	112.0	7.17	0.101
1990-01-03 16:00	1011.2	28.98	112.5	7.48	0.101
1990-01-03 17:00	1010.8	28.52	113.5	7.74	0.101
1990-01-03 18:00	1010.9	27.85	115.9	7.82	0.101
1990-01-03 19:00	1011.5	27.16	118.5	7.65	0.101
1990-01-03 20:00	1012.3	26.63	120.8	7.34	0.101
1990-01-03 21:00	1012.9	26.56	121.0	7.10	0.101
1990-01-03 22:00	1013.3	26.57	119.3	6.92	0.101
1990-01-03 23:00	1013.5	26.66	117.2	6.74	0.101
1990-01-04 00:00	1013.5	26.71	115.5	6.56	0.101
1990-01-04 01:00	1013.0	26.72	113.9	6.43	0.101
1990-01-04 02:00	1012.1	26.75	111.5	6.32	0.101
1990-01-04 03:00	1011.5	26.85	110.1	6.27	0.101
1990-01-04 04:00	1011.1	26.95	109.7	6.36	0.101
1990-01-04 05:00	1011.0	26.96	108.9	6.51	0.101
1990-01-04 06:00	1011.2	26.95	109.6	6.73	0.101
1990-01-04 07:00	1011.7	26.92	110.8	6.88	0.101
1990-01-04 08:00	1012.4	26.90	112.5	6.90	0.101
1990-01-04 09:00	1013.1	27.11	111.7	6.91	0.101
1990-01-04 10:00	1013.4	27.84	108.7	6.78	0.101
1990-01-04 11:00	1013.5	28.65	104.1	6.85	0.101
1990-01-04 12:00	1013.4	29.27	100.0	7.06	0.101
1990-01-04 13:00	1013.0	29.85	97.2	7.17	0.101
1990-01-04 14:00	1012.3	30.07	95.6	7.24	0.101
1990-01-04 15:00	1011.5	30.15	97.0	7.39	0.101
1990-01-04 16:00	1011.0	30.01	100.3	7.63	0.101
1990-01-04 17:00	1010.7	29.62	103.6	7.88	0.101
1990-01-04 18:00	1010.7	28.99	106.7	8.08	0.101
1990-01-04 19:00	1010.9	28.15	108.9	8.25	0.101
1990-01-04 20:00	1011.5	27.48	110.1	8.44	0.101
1990-01-04 21:00	1012.2	27.22	110.0	8.61	0.101
1990-01-04 22:00	1012.8	27.10	108.6	8.62	0.101
1990-01-04 23:00	1013.1	27.00	106.9	8.57	0.101
1990-01-05 00:00	1013.0	26.88	105.5	8.46	0.101
1990-01-05 01:00	1012.7	26.74	104.7	8.25	0.101
1990-01-05 02:00	1012.1	26.60	104.0	7.98	0.101
1990-01-05 03:00	1011.6	26.50	101.5	7.93	0.101
1990-01-05 04:00	1011.3	26.45	99.0	8.05	0.101
1990-01-05 05:00	1011.2	26.42	97.8	8.18	0.101
1990-01-05 06:00	1011.4	26.44	97.3	8.25	0.101
1990-01-05 07:00	1011.7	26.44	97.5	8.32	0.101
1990-01-05 08:00	1012.3	26.51	97.9	8.44	0.101
1990-01-05 09:00	1012.8	26.84	100.4	8.37	0.101
1990-01-05 10:00	1013.1	27.46	103.1	8.33	0.101
1990-01-05 11:00	1013.2	28.29	105.1	8.47	0.101
1990-01-05 12:00	1013.1	29.04	106.6	8.66	0.101
1990-01-05 13:00	1012.7	29.52	108.1	8.85	0.101
1990-01-05 14:00	1012.1	29.74	109.7	9.01	0.101
1990-01-05 15:00	1011.4	29.78	110.9	9.09	0.101
1990-01-05 16:00	1010.8	29.69	112.5	9.12	0.101
1990-01-05 17:00	1010.4	29.41	114.4	9.23	0.101
1990-01-05 18:00	1010.4	28.86	116.0	9.35	0.101
1990-01-05 19:00	1010.7	28.13	117.4	9.26	0.101
1990-01-05 20:00	1011.3	27.52	118.5	9.06	0.101
1990-01-05 21:00	1012.1	27.27	120.6	8.94	0.101
1990-01-05 22:00	1012.8	27.14	122.3	8.88	0.101
1990-01-05 23:00	1013.1	27.02	123.8	8.89	0.101
1990-01-06 00:00	1013.3	26.88	124.9	8.91	0.101
1990-01-06 01:00	1012.9	26.76	125.9	8.90	0.101
1990-01-06 02:00	1012.2	26.68	126.8	8.84	0.101
1990-01-06 03:00	1011.6	26.56	128.3	8.72	0.101
1990-01-06 04:00	1011.2	26.43	129.5	8.57	0.101
1990-01-06 05:00	1011.2	26.33	130.0	8.32	0.101
1990-01-06 06:00	1011.4	26.33	131.0	8.01	0.101
1990-01-06 07:00	1011.7	26.34	132.4	7.66	0.101
1990-01-06 08:00	1012.1	26.45	134.4	7.35	0.101
1990-01-06 09:00	1012.6	26.87	134.4	7.05	0.101
1990-01-06 10:00	1012.9	27.62	133.4	6.82	0.101
1990-01-06 11:00	1013.0	28.51	130.5	6.74	0.101
1990-01-06 12:00	1013.0	29.43	127.6	6.71	0.101
1990-01-06 13:00	1012.5	30.02	124.7	6.87	0.101
1990-01-06 14:00	1011.9	30.48	121.5	7.11	0.101
1990-01-06 15:00	1011.3	30.62	120.3	7.36	0.101
1990-01-06 16:00	1010.6	30.39	120.5	7.63	0.101
1990-01-06 17:00	1010.1	29.94	121.4	7.91	0.101
1990-01-06 18:00	1009.9	29.29	122.7	8.14	0.101
1990-01-06 19:00	1010.1	28.52	124.2	8.30	0.101
1990-01-06 20:00	1010.4	27.88	125.9	8.41	0.101
1990-01-06 21:00	1011.0	27.59	127.0	8.44	0.101
1990-01-06 22:00	1011.7	27.47	126.6	8.39	0.101
1990-01-06 23:00	1012.1	27.44	125.3	8.23	0.101
1990-01-07 00:00	1012.2	27.39	123.6	8.09	0.101
1990-01-07 01:00	1011.9	27.33	122.1	7.86	0.101
1990-01-07 02:00	1011.2	27.26	121.1	7.49	0.101
1990-01-07 03:00	1010.4	27.18	121.0	7.26	0.101
1990-01-07 04:00	1010.0	26.97	122.1	7.15	0.101
1990-01-07 05:00	1010.0	26.79	123.0	7.45	0.101
1990-01-07 06:00	1010.3	26.63	123.6	7.69	0.101
1990-01-07 07:00	1010.9	26.59	124.4	7.75	0.101
1990-01-07 08:00	1011.7	26.67	125.5	7.58	0.101
1990-01-07 09:00	1012.7	27.15	125.4	7.38	0.101
1990-01-07 10:00	1013.2	27.92	126.3	7.24	0.101
1990-01-07 11:00	1013.3	28.74	125.9	7.29	0.101
1990-01-07 12:00	1013.0	29.54	124.7	7.44	0.101
1990-01-07 13:00	1012.5	29.97	123.9	7.69	0.101
1990-01-07 14:00	1011.8	30.17	123.6	8.04	0.101
1990-01-07 15:00	1011.0	30.03	123.2	8.48	0.101
1990-01-07 16:00	1010.3	29.56	123.2	8.83	0.101
1990-01-07 17:00	1010.0	28.99	123.7	9.10	0.101
1990-01-07 18:00	1009.9	28.31	124.7	9.30	0.101
1990-01-07 19:00	1010.2	27.55	125.5	9.38	0.101
1990-01-07 20:00	1010.7	27.02	126.0	9.29	0.101
1990-01-07 21:00	1011.3	26.89	126.2	8.94	0.101
1990-01-07 22:00	1011.8	26.82	125.6	8.62	0.101
1990-01-07 23:00	1012.1	26.78	123.7	8.36	0.101
1990-01-08 00:00	1012.2	26.73	121.5	8.14	0.101
1990-01-08 01:00	1011.8	26.71	119.6	7.98	0.101
1990-01-08 02:00	1011.2	26.76	117.9	7.71	0.101
1990-01-08 03:00	1010.7	26.80	117.9	7.61	0.101
1990-01-08 04:00	1010.4	26.77	118.1	7.49	0.101
1990-01-08 05:00	1010.2	26.73	118.7	7.33	0.101
1990-01-08 06:00	1010.3	26.77	119.0	7.23	0.101
1990-01-08 07:00	1010.8	26.84	119.5	7.12	0.101
1990-01-08 08:00	1011.5	26.96	120.1	7.07	0.101
1990-01-08 09:00	1012.2	27.40	118.4	6.97	0.101
1990-01-08 10:00	1012.7	27.98	116.4	6.99	0.101
1990-01-08 11:00	1012.9	28.83	114.7	7.20	0.101
1990-01-08 12:00	1012.8	29.53	112.9	7.48	0.101
1990-01-08 13:00	1012.6	29.90	111.7	7.76	0.101
1990-01-08 14:00	1012.0	30.03	111.1	8.03	0.101
1990-01-08 15:00	1011.5	30.03	112.1	8.12	0.101
1990-01-08 16:00	1010.9	29.77	113.7	8.06	0.101
1990-01-08 17:00	1010.8	29.51	115.3	7.99	0.101
1990-01-08 18:00	1010.9	28.90	117.2	7.86	0.101
1990-01-08 19:00	1011.3	28.23	119.2	7.57	0.101
1990-01-08 20:00	1011.9	27.64	121.2	7.15	0.101
1990-01-08 21:00	1012.5	27.44	122.1	6.86	0.101
1990-01-08 22:00	1012.9	27.41	120.9	6.67	0.101
1990-01-08 23:00	1013.1	27.31	118.6	6.50	0.101
1990-01-09 00:00	1013.0	27.28	116.9	6.40	0.101
1990-01-09 01:00	1012.7	27.19	115.8	6.37	0.101
1990-01-09 02:00	1012.1	27.12	114.9	6.44	0.101
1990-01-09 03:00	1011.4	27.04	114.1	6.50	0.101
1990-01-09 04:00	1011.1	26.95	113.9	6.49	0.101
1990-01-09 05:00	1011.1	26.93	114.2	6.47	0.101
1990-01-09 06:00	1011.3	26.98	114.9	6.45	0.101
1990-01-09 07:00	1011.9	27.03	114.5	6.52	0.101
1990-01-09 08:00	1012.7	27.11	113.6	6.53	0.101
1990-01-09 09:00	1013.4	27.42	111.5	6.51	0.101
1990-01-09 10:00	1013.9	28.04	109.0	6.47	0.101
1990-01-09 11:00	1013.9	28.75	106.5	6.53	0.101
1990-01-09 12:00	1013.8	29.57	105.2	6.60	0.101
1990-01-09 13:00	1013.5	29.84	104.6	6.63	0.101
1990-01-09 14:00	1012.9	30.12	104.7	6.69	0.101
1990-01-09 15:00	1012.4	30.29	106.5	6.83	0.101
1990-01-09 16:00	1012.0	29.86	109.2	7.00	0.101
1990-01-09 17:00	1011.8	29.58	112.0	7.15	0.101
1990-01-09 18:00	1011.8	28.85	114.1	7.21	0.101
1990-01-09 19:00	1012.2	28.20	115.8	7.17	0.101
1990-01-09 20:00	1012.9	27.59	117.1	7.15	0.101
1990-01-09 21:00	1013.5	27.46	117.4	7.09	0.101
1990-01-09 22:00	1013.7	27.39	115.4	7.11	0.101
1990-01-09 23:00	1013.6	27.30	111.8	7.34	0.101
1990-01-10 00:00	1013.3	27.26	108.6	7.62	0.101
1990-01-10 01:00	1012.8	27.19	106.4	7.61	0.101
1990-01-10 02:00	1012.4	27.17	104.8	7.31	0.101
1990-01-10 03:00	1012.0	27.14	103.5	6.92	0.101
1990-01-10 04:00	1011.9	27.13	101.9	6.74	0.101
1990-01-10 05:00	1011.9	27.11	100.5	6.84	0.101
1990-01-10 06:00	1012.1	27.13	99.9	7.01	0.101
1990-01-10 07:00	1012.7	27.18	100.2	7.16	0.101
1990-01-10 08:00	1013.2	27.22	101.1	7.13	0.101
1990-01-10 09:00	1013.7	27.47	102.1	7.05	0.101
1990-01-10 10:00	1014.0	28.14	103.8	6.82	0.101
1990-01-10 11:00	1014.1	28.91	105.8	6.73	0.101
1990-01-10 12:00	1013.8	29.91	107.7	6.81	0.101
1990-01-10 13:00	1013.2	30.28	109.6	6.95	0.101
1990-01-10 14:00	1012.4	30.58	111.6	7.13	0.101
1990-01-10 15:00	1012.0	30.66	113.8	7.28	0.101
1990-01-10 16:00	1011.7	30.26	116.4	7.46	0.101
1990-01-10 17:00	1011.5	29.68	118.8	7.63	0.101
1990-01-10 18:00	1011.6	28.86	120.7	7.79	0.101
1990-01-10 19:00	1012.0	27.94	122.0	7.84	0.101
1990-01-10 20:00	1012.7	27.25	122.4	7.81	0.101
1990-01-10 21:00	1013.2	27.08	121.9	7.94	0.101
1990-01-10 22:00	1013.6	26.96	121.0	8.12	0.101
1990-01-10 23:00	1013.7	26.82	119.7	8.30	0.101
1990-01-11 00:00	1013.5	26.77	117.7	8.40	0.101
1990-01-11 01:00	1013.0	26.65	115.3	8.42	0.101
1990-01-11 02:00	1012.4	26.54	112.7	8.31	0.101
1990-01-11 03:00	1011.9	26.56	111.9	8.00	0.101
1990-01-11 04:00	1011.7	26.60	111.6	7.67	0.101
1990-01-11 05:00	1011.7	26.60	111.5	7.48	0.101
1990-01-11 06:00	1012.1	26.67	112.4	7.46	0.101
1990-01-11 07:00	1012.7	26.74	114.3	7.53	0.101
