MERRA: MODERN ERA RETROSPECTIVE-ANALYSIS FOR RESEARCH AND APPLICATIONS
These data originates from the Global Modeling and Assimilation Office of NASA / Goddard Space Flight Center.
The MERRA analysis are being conducted with the GEOS-5 Asmospheric Data Assimilation System
(ADAS). The model grid is 0.5 degree latitude and 2/3 degree longitude.
The raw data may be obtained from this URL: http://gmao.gsfc.nasa.gov/research/merra/
Acknowledgement: The Global Modeling and Assimilation Office (GMAO) for the MERRA-analysis and the GES DISC for the dissemination of MERRA
This sub-dataset is provided and processedby EMD International A/S, web:
http://www.emd.dk or http://www.WindPRO.com

Year: 1993
IdxLatitude: 171
IdxLongitude: 214
Latitude: -4.5
Longitude: -37.3322448730469

time	pressure	temperature	wDir	wSpeed	dispHeight
1993-01-01 00:00	1011.8	27.09	105.9	12.43	0.018
1993-01-01 01:00	1011.7	26.82	110.1	12.37	0.018
1993-01-01 02:00	1011.1	26.56	112.8	11.91	0.018
1993-01-01 03:00	1010.5	26.33	114.6	11.27	0.018
1993-01-01 04:00	1010.4	26.17	116.0	10.69	0.018
1993-01-01 05:00	1010.4	26.04	117.5	10.33	0.018
1993-01-01 06:00	1010.5	25.90	119.1	10.13	0.018
1993-01-01 07:00	1011.1	25.79	121.1	9.94	0.018
1993-01-01 08:00	1012.0	25.75	123.2	9.83	0.018
1993-01-01 09:00	1012.8	26.09	125.8	9.86	0.018
1993-01-01 10:00	1012.9	26.72	126.2	9.84	0.018
1993-01-01 11:00	1012.7	27.46	123.6	9.48	0.018
1993-01-01 12:00	1012.2	28.29	119.2	8.91	0.018
1993-01-01 13:00	1011.6	29.06	112.9	8.39	0.018
1993-01-01 14:00	1010.8	29.58	104.7	8.13	0.018
1993-01-01 15:00	1010.1	29.76	94.9	8.14	0.018
1993-01-01 16:00	1009.7	29.53	86.8	8.40	0.018
1993-01-01 17:00	1009.4	29.04	80.9	8.79	0.018
1993-01-01 18:00	1009.4	28.45	77.9	9.22	0.018
1993-01-01 19:00	1009.7	27.85	77.4	9.56	0.018
1993-01-01 20:00	1010.2	27.31	80.0	9.63	0.018
1993-01-01 21:00	1010.7	27.15	85.4	9.60	0.018
1993-01-01 22:00	1011.2	27.05	91.9	9.85	0.018
1993-01-01 23:00	1011.5	27.02	98.1	10.17	0.018
1993-01-02 00:00	1011.6	26.99	103.9	10.58	0.018
1993-01-02 01:00	1011.7	26.83	109.5	10.93	0.018
1993-01-02 02:00	1011.3	26.53	113.3	10.90	0.018
1993-01-02 03:00	1010.7	26.20	114.8	10.81	0.018
1993-01-02 04:00	1010.4	25.96	115.5	10.66	0.018
1993-01-02 05:00	1010.3	25.80	115.6	10.45	0.018
1993-01-02 06:00	1010.5	25.70	115.1	10.24	0.018
1993-01-02 07:00	1011.0	25.62	114.6	10.13	0.018
1993-01-02 08:00	1011.7	25.64	114.2	10.04	0.018
1993-01-02 09:00	1012.6	26.03	115.2	9.82	0.018
1993-01-02 10:00	1013.1	26.65	115.1	9.42	0.018
1993-01-02 11:00	1013.2	27.33	112.4	9.05	0.018
1993-01-02 12:00	1013.0	28.09	107.1	8.76	0.018
1993-01-02 13:00	1012.5	28.65	100.0	8.61	0.018
1993-01-02 14:00	1011.8	28.96	92.3	8.72	0.018
1993-01-02 15:00	1010.9	28.90	85.7	9.14	0.018
1993-01-02 16:00	1010.2	28.65	82.0	9.57	0.018
1993-01-02 17:00	1009.7	28.27	81.0	9.91	0.018
1993-01-02 18:00	1009.7	27.82	81.4	10.09	0.018
1993-01-02 19:00	1010.0	27.35	82.3	10.14	0.018
1993-01-02 20:00	1010.7	26.97	83.3	10.00	0.018
1993-01-02 21:00	1011.6	26.85	84.4	9.82	0.018
1993-01-02 22:00	1012.3	26.85	86.0	9.95	0.018
1993-01-02 23:00	1012.7	26.93	88.1	10.09	0.018
1993-01-03 00:00	1012.8	26.75	91.0	10.15	0.018
1993-01-03 01:00	1012.6	26.59	94.4	10.07	0.018
1993-01-03 02:00	1012.1	26.48	97.9	9.96	0.018
1993-01-03 03:00	1011.5	26.35	100.6	9.76	0.018
1993-01-03 04:00	1011.2	26.25	102.8	9.56	0.018
1993-01-03 05:00	1011.2	26.14	104.8	9.53	0.018
1993-01-03 06:00	1011.4	26.05	106.5	9.52	0.018
1993-01-03 07:00	1011.9	25.99	107.6	9.41	0.018
1993-01-03 08:00	1012.3	25.98	108.4	9.24	0.018
1993-01-03 09:00	1013.0	26.40	109.4	9.02	0.018
1993-01-03 10:00	1013.3	27.13	109.4	9.02	0.018
1993-01-03 11:00	1013.2	27.80	107.7	8.81	0.018
1993-01-03 12:00	1012.9	28.36	103.8	8.61	0.018
1993-01-03 13:00	1012.3	28.82	98.4	8.56	0.018
1993-01-03 14:00	1011.7	29.06	92.1	8.64	0.018
1993-01-03 15:00	1010.9	28.99	85.9	8.98	0.018
1993-01-03 16:00	1010.4	28.64	81.8	9.38	0.018
1993-01-03 17:00	1010.2	28.01	80.4	9.72	0.018
1993-01-03 18:00	1010.4	27.53	80.5	9.97	0.018
1993-01-03 19:00	1010.7	27.12	81.3	10.10	0.018
1993-01-03 20:00	1011.4	26.85	82.2	10.00	0.018
1993-01-03 21:00	1012.2	26.75	83.4	9.80	0.018
1993-01-03 22:00	1013.0	26.69	85.0	9.78	0.018
1993-01-03 23:00	1013.3	26.62	87.0	9.70	0.018
1993-01-04 00:00	1013.2	26.52	88.9	9.66	0.018
1993-01-04 01:00	1012.6	26.43	90.3	9.60	0.018
1993-01-04 02:00	1011.8	26.34	91.3	9.37	0.018
1993-01-04 03:00	1011.1	26.26	91.5	8.98	0.018
1993-01-04 04:00	1010.6	26.23	91.9	8.49	0.018
1993-01-04 05:00	1010.5	26.26	93.1	8.03	0.018
1993-01-04 06:00	1010.6	26.20	95.3	7.64	0.018
1993-01-04 07:00	1011.0	26.16	97.6	7.36	0.018
1993-01-04 08:00	1011.6	26.15	99.7	7.08	0.018
1993-01-04 09:00	1012.3	26.38	102.2	6.87	0.018
1993-01-04 10:00	1012.7	26.96	102.1	6.65	0.018
1993-01-04 11:00	1012.8	27.63	97.5	6.35	0.018
1993-01-04 12:00	1012.6	28.12	90.1	6.31	0.018
1993-01-04 13:00	1012.3	28.44	82.6	6.46	0.018
1993-01-04 14:00	1011.7	28.40	76.3	6.72	0.018
1993-01-04 15:00	1011.1	28.19	69.7	6.98	0.018
1993-01-04 16:00	1010.5	27.95	65.3	7.20	0.018
1993-01-04 17:00	1010.4	27.68	64.2	7.39	0.018
1993-01-04 18:00	1010.7	27.30	64.6	7.54	0.018
1993-01-04 19:00	1011.2	26.83	65.6	7.62	0.018
1993-01-04 20:00	1011.9	26.56	67.7	7.45	0.018
