MERRA: MODERN ERA RETROSPECTIVE-ANALYSIS FOR RESEARCH AND APPLICATIONS
These data originates from the Global Modeling and Assimilation Office of NASA / Goddard Space Flight Center.
The MERRA analysis are being conducted with the GEOS-5 Asmospheric Data Assimilation System
(ADAS). The model grid is 0.5 degree latitude and 2/3 degree longitude.
The raw data may be obtained from this URL: http://gmao.gsfc.nasa.gov/research/merra/
Acknowledgement: The Global Modeling and Assimilation Office (GMAO) for the MERRA-analysis and the GES DISC for the dissemination of MERRA
This sub-dataset is provided and processedby EMD International A/S, web:
http://www.emd.dk or http://www.WindPRO.com

Year: 1985
IdxLatitude: 161
IdxLongitude: 166
Latitude: -9.5
Longitude: -69.3324890136719

time	pressure	temperature	wDir	wSpeed	dispHeight
1985-01-01 00:00	1009.4	24.13	44.0	1.60	23.094
1985-01-01 01:00	1010.0	23.90	45.3	1.61	23.094
1985-01-01 02:00	1010.3	23.64	46.9	1.55	23.094
1985-01-01 03:00	1010.2	23.42	46.1	1.44	23.094
1985-01-01 04:00	1010.0	23.38	41.7	1.16	23.094
1985-01-01 05:00	1009.8	23.31	31.1	0.85	23.094
1985-01-01 06:00	1009.6	23.17	18.5	0.74	23.094
1985-01-01 07:00	1009.7	22.92	14.3	0.70	23.094
1985-01-01 08:00	1010.3	22.74	14.1	0.72	23.094
1985-01-01 09:00	1011.0	22.66	20.0	0.69	23.094
1985-01-01 10:00	1011.8	22.61	23.3	0.59	23.094
1985-01-01 11:00	1012.6	22.80	23.0	0.44	23.094
1985-01-01 12:00	1013.2	23.19	12.3	0.50	23.094
1985-01-01 13:00	1013.4	23.82	10.8	0.65	23.094
1985-01-01 14:00	1013.3	24.73	12.8	0.79	23.094
1985-01-01 15:00	1013.1	25.23	10.3	0.95	23.094
1985-01-01 16:00	1012.4	25.69	6.6	1.09	23.094
1985-01-01 17:00	1011.2	26.41	3.7	1.18	23.094
1985-01-01 18:00	1009.8	26.95	4.6	1.22	23.094
1985-01-01 19:00	1008.7	27.18	10.9	1.25	23.094
1985-01-01 20:00	1008.1	27.13	13.8	1.35	23.094
1985-01-01 21:00	1008.0	26.79	8.7	1.36	23.094
1985-01-01 22:00	1008.2	25.80	356.3	1.15	23.094
1985-01-01 23:00	1008.6	24.50	346.5	1.38	23.094
1985-01-02 00:00	1009.3	23.53	342.3	1.53	23.094
1985-01-02 01:00	1010.2	22.81	339.7	1.51	23.094
1985-01-02 02:00	1010.8	22.21	336.8	1.45	23.094
1985-01-02 03:00	1010.9	21.71	332.7	1.49	23.094
1985-01-02 04:00	1010.7	21.79	329.0	1.46	23.094
1985-01-02 05:00	1010.5	22.44	328.3	1.20	23.094
1985-01-02 06:00	1010.4	22.41	332.3	0.95	23.094
1985-01-02 07:00	1010.5	22.15	334.9	0.85	23.094
1985-01-02 08:00	1010.9	21.98	337.0	0.80	23.094
1985-01-02 09:00	1011.4	21.85	338.4	0.75	23.094
1985-01-02 10:00	1012.1	21.67	336.4	0.72	23.094
1985-01-02 11:00	1012.8	22.21	334.1	0.69	23.094
1985-01-02 12:00	1013.1	23.53	341.7	0.98	23.094
1985-01-02 13:00	1013.0	26.37	351.8	1.40	23.094
1985-01-02 14:00	1012.6	28.82	356.4	1.61	23.094
1985-01-02 15:00	1011.7	30.52	357.5	1.69	23.094
1985-01-02 16:00	1010.5	31.53	357.8	1.68	23.094
1985-01-02 17:00	1009.0	31.61	3.9	1.65	23.094
1985-01-02 18:00	1007.8	31.55	11.6	1.75	23.094
1985-01-02 19:00	1007.0	31.24	15.9	1.98	23.094
1985-01-02 20:00	1006.6	30.71	17.5	2.23	23.094
1985-01-02 21:00	1006.8	29.97	15.5	2.31	23.094
1985-01-02 22:00	1007.2	28.75	7.8	1.98	23.094
1985-01-02 23:00	1007.7	27.43	358.2	2.06	23.094
1985-01-03 00:00	1008.3	26.41	350.0	2.14	23.094
1985-01-03 01:00	1008.9	25.56	341.5	2.10	23.094
1985-01-03 02:00	1009.3	24.80	332.4	2.02	23.094
1985-01-03 03:00	1009.3	24.20	323.2	1.99	23.094
1985-01-03 04:00	1009.1	23.79	317.9	1.95	23.094
1985-01-03 05:00	1009.0	23.45	315.4	1.83	23.094
1985-01-03 06:00	1008.9	23.16	313.7	1.71	23.094
1985-01-03 07:00	1008.9	22.98	314.9	1.63	23.094
1985-01-03 08:00	1009.1	22.80	320.0	1.58	23.094
1985-01-03 09:00	1009.8	22.44	326.8	1.56	23.094
1985-01-03 10:00	1010.3	22.17	329.5	1.55	23.094
1985-01-03 11:00	1010.8	24.00	326.9	1.17	23.094
1985-01-03 12:00	1011.0	27.35	343.1	1.48	23.094
1985-01-03 13:00	1011.0	29.98	355.6	1.69	23.094
1985-01-03 14:00	1010.5	31.83	2.5	1.63	23.094
1985-01-03 15:00	1009.6	33.23	3.0	1.72	23.094
1985-01-03 16:00	1008.5	34.09	1.3	1.83	23.094
1985-01-03 17:00	1007.1	34.31	1.8	1.94	23.094
1985-01-03 18:00	1005.8	34.18	5.1	2.06	23.094
1985-01-03 19:00	1004.9	33.51	10.9	2.26	23.094
1985-01-03 20:00	1004.8	32.45	16.8	2.58	23.094
1985-01-03 21:00	1005.1	30.82	18.7	2.76	23.094
1985-01-03 22:00	1005.6	29.10	17.1	2.58	23.094
1985-01-03 23:00	1006.1	27.91	12.6	2.49	23.094
1985-01-04 00:00	1006.7	27.18	7.4	2.38	23.094
1985-01-04 01:00	1007.1	26.57	4.5	2.23	23.094
1985-01-04 02:00	1007.4	26.07	4.4	2.04	23.094
1985-01-04 03:00	1007.3	25.61	6.4	1.79	23.094
1985-01-04 04:00	1007.1	25.19	9.1	1.63	23.094
1985-01-04 05:00	1007.0	24.77	11.2	1.56	23.094
1985-01-04 06:00	1007.0	24.40	12.6	1.56	23.094
1985-01-04 07:00	1007.3	24.08	13.1	1.57	23.094
1985-01-04 08:00	1007.9	23.77	13.3	1.59	23.094
1985-01-04 09:00	1008.6	23.47	12.8	1.59	23.094
1985-01-04 10:00	1009.2	23.29	11.9	1.55	23.094
1985-01-04 11:00	1009.7	24.89	10.6	1.52	23.094
1985-01-04 12:00	1010.0	27.61	8.5	2.06	23.094
1985-01-04 13:00	1009.9	30.00	11.4	2.37	23.094
1985-01-04 14:00	1009.4	31.84	19.1	2.38	23.094
1985-01-04 15:00	1008.5	33.21	24.5	2.44	23.094
1985-01-04 16:00	1007.2	34.12	25.6	2.50	23.094
1985-01-04 17:00	1005.9	34.71	22.9	2.49	23.094
1985-01-04 18:00	1004.7	34.87	17.2	2.45	23.094
1985-01-04 19:00	1003.8	34.69	9.8	2.51	23.094
1985-01-04 20:00	1003.4	33.98	2.2	2.74	23.094
1985-01-04 21:00	1003.7	32.90	355.7	2.93	23.094
1985-01-04 22:00	1004.5	31.29	346.7	2.80	23.094
1985-01-04 23:00	1005.4	29.63	338.3	2.68	23.094
1985-01-05 00:00	1006.2	28.47	331.8	2.48	23.094
1985-01-05 01:00	1006.8	27.54	324.4	2.17	23.094
1985-01-05 02:00	1007.2	26.74	316.1	1.85	23.094
1985-01-05 03:00	1007.2	26.02	308.3	1.61	23.094
1985-01-05 04:00	1006.9	25.42	305.5	1.44	23.094
1985-01-05 05:00	1006.8	24.86	307.5	1.36	23.094
1985-01-05 06:00	1006.9	24.35	313.3	1.34	23.094
1985-01-05 07:00	1007.3	23.86	320.7	1.36	23.094
1985-01-05 08:00	1008.0	23.45	329.0	1.41	23.094
1985-01-05 09:00	1008.9	23.11	334.5	1.45	23.094
1985-01-05 10:00	1009.8	23.03	338.1	1.56	23.094
1985-01-05 11:00	1010.3	24.54	340.9	1.69	23.094
1985-01-05 12:00	1010.5	27.29	344.3	2.35	23.094
1985-01-05 13:00	1010.5	29.70	345.9	2.71	23.094
1985-01-05 14:00	1009.8	30.90	347.4	2.74	23.094
1985-01-05 15:00	1009.2	31.54	349.5	2.61	23.094
